name,image,diet,course,time,ingredients,instructions
Burger,https://www.allrecipes.com/thmb/8fe_5pLNz2eHcpknNhL52fdq5hE=/0x512/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/25473-the-perfect-basic-burger-DDMFS-4x3-56eaba3833fd4a26a82755bcd0be0c54.jpg,Veg/Non-Veg, Main Course,30,"Burger Buns, Patty (Veg/Non-Veg), Cheese (optional), Lettuce, Tomato, Onion, Pickles, Sauce (Mayonnaise, Ketchup, Mustard)","1. Toast burger buns lightly. Cook your chosen patty (veg or non-veg).\n2. Assemble the burger by layering patty, cheese (optional), lettuce, tomato, onion, pickles and sauce on the bottom bun. Cover with the top bun and serve."
Chakli,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Chakli_in_a_bowl.jpg/1200px-Chakli_in_a_bowl.jpg,Veg,Snack,60,"Rice Flour, Gram Flour (Besan), Sesame Seeds, Cumin Seeds, Red Chilli Powder, Turmeric Powder, Oil, Salt, Water","1. In a bowl, combine rice flour, gram flour, sesame seeds, cumin seeds, red chilli powder, turmeric powder and salt.\n2. Heat oil in a pan. Add a spoonful of hot oil to the flour mixture and mix well.\n3. Add water gradually and knead into a stiff dough. \n4. Use a chakli press or mold to shape the dough into spiral shapes. Deep fry in hot oil until golden and crispy. Drain on paper towels and enjoy as a snack."
Cheese Cakes,https://www.onceuponachef.com/images/2017/12/cheesecake-1200x1393.jpg,Veg,Dessert,90,"Cream Cheese, Sugar, Eggs, Sour Cream, Vanilla Extract, Graham Cracker Crumbs, Butter, Toppings (Fruit, Chocolate Sauce)","1. Preheat oven to desired temperature. Make the crust by combining graham cracker crumbs and melted butter. Press into the bottom of a springform pan.\n2. Beat together cream cheese and sugar until smooth. Add eggs one at a time, then stir in sour cream and vanilla extract. Pour over the crust.\n3. Bake in the preheated oven until set around the edges. Let cool completely before adding toppings."
Chole Bhature,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSboYpGx3M1QjFM0hvTUiKAO-xVQwh8h2QsIVR0fvnOQQ&s,Veg,Main Course,90,"Chickpeas, Onions, Tomatoes, Ginger-Garlic Paste, Green Chillies, Spices (Cumin, Coriander, Turmeric, Red Chilli Powder, Garam Masala), All Purpose Flour, Yogurt, Baking Soda, Oil, Salt, Coriander Leaves","1. Soak chickpeas overnight. Pressure cook with salt and baking soda. \n2. Prepare the chole by sauteeing onions, tomatoes, ginger-garlic paste, green chillies and spices. Add the cooked chickpeas and simmer.\n3. For the bhature, knead a dough with all purpose flour, yogurt, baking soda, oil and salt. Let it rise.\n4. Roll out large puris and deep fry until puffed up and golden. Serve hot with chole, onion rings and lemon wedges."
Cookies,https://bakewithshivesh.com/wp-content/uploads/2020/09/IMG-8129-1-scaled.jpg,Veg,Dessert,45,"Butter, Sugar, Eggs, All Purpose Flour, Baking Soda, Salt, Vanilla Extract, Chocolate Chips, Nuts (optional)","1. Preheat oven to desired temperature. Cream together butter and sugar until light and fluffy.\n2. Beat in eggs one at a time, then stir in vanilla extract.\n3. In a separate bowl, whisk together all purpose flour, baking soda and salt. Gradually add to the wet ingredients, mixing until just combined.\n4. Stir in chocolate chips and nuts (optional).\n5. Drop by rounded tablespoons onto ungreased baking sheets and bake until golden brown."
Fafda,https://laxmibhog.com//cdn/recipes/Fafda.jpg,Veg,Snack,90,"Gram Flour (Besan), Baking Soda, Turmeric Powder, Green Chilies, Papaya Paste (optional), Oil, Salt, Water","1. In a bowl, combine gram flour, baking soda, turmeric powder, finely chopped green chilies, papaya paste (optional) and salt.\n2. Add water gradually and knead into a smooth and elastic dough. \n3. Divide the dough into small portions. Roll each portion into a thin rectangular sheet. Make diagonal cuts on the sheet.\n4. Heat oil in a pan. Carefully slide the fafda sheets into the hot oil and deep fry until crispy and golden brown. Drain on paper towels and serve hot with chutney and fried green chilies."
French Fries,https://www.kuchpakrahahai.in/wp-content/uploads/2023/05/Air-fried-french-fries.jpg,Veg,Snack,30,Potatoes, Oil for deep frying, Salt,"1. Peel and cut potatoes into french fry shapes. Soak in cold water for 30 minutes.\n2. Heat oil in a deep fryer. Pat the potatoes dry and fry in batches until golden brown and crispy.\n3. Drain on paper towels and sprinkle with salt. Serve hot with your favourite dipping sauce."
Gobi Manchurian,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/02/gobi-manchurian-cauliflower-manchurian.jpg,Veg,Appetizer,45,"Cauliflower, Cornflour, All Purpose Flour, Soy Sauce, Vinegar, Ginger Garlic Paste, Green Chilies, Spring Onions, Salt, Sugar, Oil","1. Cut cauliflower into florets. Make a batter with cornflour, all purpose flour, salt and water. Dip cauliflower florets in the batter and deep fry until golden brown.\n2. In a separate pan, heat oil and saute ginger garlic paste, green chilies and spring onions. Add soy sauce, vinegar, salt and sugar. \n3. Add fried cauliflower florets to the sauce and toss to coat. Serve hot garnished with spring onions."
Gol Gappa,https://static.toiimg.com/thumb/53739648.cms?imgsize=115082&width=800&height=800,Veg,Snack,60,"Semolina, All Purpose Flour, Water, Oil, Potatoes, Chickpeas, Tamarind Chutney, Mint Chutney, Spices (Cumin Powder, Chaat Masala, Red Chilli Powder), Sev, Coriander Leaves","1. Knead a dough with semolina, all purpose flour, water and oil. Let it rest.\n2. Divide the dough into small balls and roll them into thin puris. Deep fry until crispy.\n3. Prepare the fillings with boiled potatoes, mashed chickpeas, tamarind chutney, mint chutney, spices and sev.\n4. Make a small hole in each puri and fill with the potato-chickpea mixture. Dip in the chutneys and enjoy immediately."
Gulab Jamun,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzKH67IMZdi3utvkkubh2JbVjMiQCbql0Qg5ki8wdHMA&s,Veg,Dessert,45,"Milk solids (khoya), Sugar, Water, Green Cardamom Pods, Rose Water, Oil/Ghee for frying","1. Knead the khoya until smooth. Divide into small balls.\n2. Make sugar syrup by dissolving sugar in water. Add cardamom pods and rose water.\n3. Heat oil/ghee and fry the balls on low heat until golden brown.\n4. Soak the fried balls in the sugar syrup for at least 2 hours before serving."
